"","V1","V2","V3","V4","V5","V6"
"415","soap","0.35","250","104","0.0490279213690961",NA
"416","wr","0.35","250","104","0.0451160246174848",NA
"417","tprs","0.35","250","105","0.10235996110451",NA
"418","mdsds","0.35","250","105","0.0460450937588389","4"
"419","soap","0.35","250","105","0.057573337173321",NA
"420","wr","0.35","250","105","0.0523253093486884",NA
"421","tprs","0.35","250","106","0.128590735667644",NA
"422","mdsds","0.35","250","106","0.0714787580629682","3"
"423","soap","0.35","250","106","0.0753605738115645",NA
"424","wr","0.35","250","106","0.0561189154878051",NA
"425","tprs","0.35","250","107","0.0625288859879796",NA
"426","mdsds","0.35","250","107","0.039316197016028","4"
"427","soap","0.35","250","107","0.0456665992800517",NA
"428","wr","0.35","250","107","0.0460867684731961",NA
"429","tprs","0.35","250","108","0.085689763661208",NA
"430","mdsds","0.35","250","108","0.0468227317335491","4"
"431","soap","0.35","250","108","0.0547292018555776",NA
"432","wr","0.35","250","108","0.0521932158501924",NA
"433","tprs","0.35","250","109","0.126432889124089",NA
"434","mdsds","0.35","250","109","0.0395189076386605","4"
"435","soap","0.35","250","109","0.0552805779408858",NA
"436","wr","0.35","250","109","0.0554903493004292",NA
"437","tprs","0.35","250","110","0.0874362160490701",NA
"438","mdsds","0.35","250","110","0.0510867450164733","3"
"439","soap","0.35","250","110","0.0478657509713791",NA
"440","wr","0.35","250","110","0.0425617520425871",NA
"441","tprs","0.35","250","111","0.0995532861256756",NA
"442","mdsds","0.35","250","111","0.0733462054420945","7"
"443","soap","0.35","250","111","0.0775470728959508",NA
"444","wr","0.35","250","111","0.089141943875741",NA
"445","tprs","0.35","250","112","0.0711785647825261",NA
"446","mdsds","0.35","250","112","0.0414083684011077","4"
"447","soap","0.35","250","112","0.0526028620686423",NA
"448","wr","0.35","250","112","0.0485256328660828",NA
"449","tprs","0.35","250","113","0.0935917938026137",NA
"450","mdsds","0.35","250","113","0.0680739804619604","7"
"451","soap","0.35","250","113","0.0693737386321788",NA
"452","wr","0.35","250","113","0.0688956349813984",NA
"453","tprs","0.35","250","114","0.056064151946183",NA
"454","mdsds","0.35","250","114","0.0399638759220044","4"
"455","soap","0.35","250","114","0.0516055232096332",NA
